Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Дніпро, вул.Маршала Малиновського, 2   Аптека №1 ""ДОБРОГО ДНЯ""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Дніпро, вул.Набережна Перемоги, 86д Аптека №14 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Робоча, 79-А Аптека №5 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Донецьке шосе, 2-Б Аптека №8 ""1 соціальна аптека""",
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"м.Дніпро, пр-т Олександра Поля, 121, прим.63 (Аптека №1)",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"!88! Дніпропетровська обл., м.Новомосковськ, вул.Гетьманська, 32-Б",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!88! Дніпропетровська обл., м.Новомосковськ, вул.Гетьманська, 32-Б",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Новомосковськ, вул.Спаська,9а   Аптека №24",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Перещепине, вул.Калініна,10А  Аптека №6",Дніпропетровська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"м.Перещепине, вул.Шевченка,31  А/п №1   апт №6",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!180! Кіровоградська обл., м.Олександрія, вул.Студентська, 46",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Кіровоградська обл., м.Олександрія, пр-т Соборний, 98  Аптека №18",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Кіровоградська обл., м.Олександрія, вул.Першотравнева, 53",Кіровоградська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"Кіровоградська обл., м.Олександрія, вул.Козацька, 47",Кіровоградська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Кіровоградська обл., смт Новгородка, вул.Криворізька, 16/3, Аптека №6 ""Берегиня""",Кіровоградська
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м.Чернівці, пр.Незалежності, 107-А",Чернівецька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Чернівці, вул.Буковинська, 4, КМУ ""Міська дитяча клінічна лікарня""Аптечний пункт №1",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Чернівці, вул.Ентузіастів, 2-А",Чернівецька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"м.Чернівці, вул.Комарова, 13-Б",Чернівецька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Чернівці, вул.Московської Олімпіади, 6-Б",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Чернівці, вул.Московської Олімпіади, 6-Б",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернівецька обл., смт Путила, вул. Українська, 77-А, Аптека №1",Чернівецька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Івано-Франківська обл., м.Надвірна, вул.Грушевського, 11",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-112 Івано-Франківська обл., м.Снятин, вул.Шевченка, 12/1",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-112 Івано-Франківська обл., м.Снятин, вул.Шевченка, 12/1",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Івано-Франківська обл., м.Коломия, площа Привокзальна, 2д",Івано-Франківська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",3,"м.Івано-Франківськ, вул.Миколайчука, 2",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"м.Івано-Франківськ, вул.Миколайчука, 2",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Івано-Франківськ, вул.Галицька, 28а/3",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Івано-Франківськ, вул.Січових Стрільців, 26",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Аптечний пункт,Івано-Франківська обл., Надвірнянський р-н, смт Ланчин,вул.Незалежності,168, Ланчинський центр терапевтичної та паліативної допомогиКНП",Івано-Франківська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-77 Івано-Франківська обл., м.Снятин, вул.Шевченка, 143/1",Івано-Франківська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"смт Муровані Курилівці, вул.Комарова, 1/131",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м. Новодністровськ, квартал 4, буд. 27",Чернівецька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"м.Одеса, вул.Ніжинська, 54",Одеська
Беталок Зок таб. в/о 100мг №30,1,"А30 м.Одеса, вул.Академіка Філатова, 86",Одеська
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"м.Одеса, провул.Богданова, 9",Одеська
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Одеська обл., Овідіопольський р-н, с.Мізікевича, пр-т Маршала Жукова, 101-м Аптека №1",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,м.Миколаїв вул.3-тя Слобідська 49/1  Аптека №5,Миколаївська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Миколаївська обл., Казанківський р-н, смт Казанка, вул.Центральна, 48",Миколаївська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Миколаївська обл., Казанківський р-н, смт Казанка, вул.Центральна, 48",Миколаївська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., Савранський район, смт Саврань, вул.Центральна, 60",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Черкаська обл., м.Сміла, вул.Жовтнева, 14А Аптека №1 ""Аптека Сімейна""",Черкаська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Тернопільська обл., м.Ланівці, вул.Шевченка, 30-А (Аптека №2)",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Тернопіль, вул.Київська, 9",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Тернопільська обл., смт Гусятин, пр-т Незалежності, 7",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"48702, Тернопільська обл., м.Борщів, вул.Січових стрільців, 5/24",Тернопільська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Львів, вул.Кульпарківська, 226-А",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Львів, пр-т В.Чорновола, 93",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",8,"м.Львів, пр-т Чорновола, 43-А",Львівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Львівська обл., м.Золочів, вул.Ст.Бандери, 3",Львівська
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"м.Київ, вул.Миколайчука Івана, 11",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Київ, вул.Георгія Кірпи, 5",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Київ, вул.Велика Васильківська, 65 (ЛІТЕРА А)",
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м.Київ, вул.Велика Васильківська, 116",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, пр-т Глушкова Академіка, 13-Б Аптека №27",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Глушкова академіка, 13-Б Аптека №19",
Золадекс капс. 3.6мг шприц-аплікатор №1,1,"м.Київ, вул.Драйзера, 8",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул,Саксаганського,147/5",
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"вул.Сім'ї Ідзиковських, 2,	м.Київ, Аптека №2",
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"м.Київ, вул.Пулюя Івана, 5 (Аптека №23 ""Країна здоров'я"")",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернігівська обл., м.Ніжин, вул.Московська, 15-Б, Аптека №1 ""Аптека нашого міста""",Чернігівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"вули. Сергія Москаленка, 39, м.Бровари, Київська обл. Аптека №3 #А3",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Чернігівська обл., м.Ніжин, вул.Овдіївська, 5, Аптека №13	",Чернігівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,10,"0368 м. Київ, вул.Пшенична,16",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київська обл., смт Чабани, вул.Машинобудівників, 1-Б, прим.2",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київська обл., Києво-Святошинський р-н, м.Боярка, вул.Білогородська, 134, Аптека №1",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-104 м.Житомир, вул.Лесі Українки, 48",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-74 Житомирська обл., Хорошівський р-н, смт Нова Борова, вул.Привокзальна, 14",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-24 Житомирська обл., Хорошівський р-н, смт Нова Борова, вул.Паркова, 12",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-24 Житомирська обл., Хорошівський р-н, смт Нова Борова, вул.Паркова, 12",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"Житомирська обл., смт Хорошів, вул.Древлянська, 27",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-96 Житомирська обл., смт Черняхів, вул.Володимирська, 3",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Житомирська обл., Житомирський р-н, с.Ліщин, вул.Лесі Українки, 3-а, КНП ""АЗПСМ"" Станишівської сіль до 15,30",Житомирська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-10 м.Житомир, вул.Домбровського, 44-А",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-2 м.Радомишль, вул.Соборний майдан, 10",Житомирська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"КФ А-110 Житомирська обл., Брусилівський р-н, смт Брусилів, вул.Ілариона Митрополита, 30",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київська обл., смт Іванків, вул.Поліська, 54-А, прим.1",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Немирів, вул. Горького, 88",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Немирів, вул. Горького, 88",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"КФ А-85 м.Тульчин, вул. Леонтовича, 37",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КФ А-85 м.Тульчин, вул. Леонтовича, 37",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Вінницька обл., м.Тульчин, вул.Миколи Леонтовича, 35, прим.2",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-69 м. Бершадь, вул. Героїв України, 7, прим.22",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,2,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"КФ А-63 м.Тульчин, вул. Леонтовича, 96а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Бердичів, вул. Маложитомирська, 2/8",Житомирська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м. Козятин, вул. П.Орлика, 22",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"КФ А-120 смт Корнин, вул.Соборна,30",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-120 смт Корнин, вул.Соборна,30",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-150 м. Козятин, вул. 8-ма Гвардійська, 55",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м. Козятин, вул. П.Орлика, 22",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Піщанка, вул. Центральна, 42",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-39 смт Крижопіль, вул. Соборна, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-9 смт Крижопіль, Д.Нечая, 13",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., смт Крижопіль, вул.Героїв України, 88-А",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"смт Піщанка, вул. Центральна, 42",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,10,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"Ф-108 м. Вінниця, вул. Келецкая, 105",Вінницька
Пульмікорт турбухалер пор. д/інг.100мкг 200доз,2,"м. Вінниця, вул. Келецька, 66",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Ф-128, м. Вінниця, вул. Павла Алепського, 1-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-34 м. Вінниця, вул. Ю.Смірнова 23, / 1-й пр.Український, 6",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Вінниця, вул.М.Оводова (Козицького), 51",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"м. Вінниця, вул. Мічуріна, 32",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
Беталок Зок таб. в/о 25мг №14,1,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Ф-11 м. Вінниця, вул. Замостянська, 19",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Вінниця, пр-т Коцюбинського, 37, прим.50",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-41 м. Вінниця, вул. Чехова, 8А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!149! Дніпропетровська обл., м.Кривий Ріг, вул.С.Колачевського, 100 А",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, пр-т Металургів, 26 прим.1   Аптека №7",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, вул.Івана Авраменко, 9, прим.38",Дніпропетровська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"Дніпропетровська обл., м.Кривий Ріг, вул.Мелешкіна, 38, прим.181",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Дніпро, вул.Шмідта, 2",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",4,"!238! Дніпропетровська обл., м.Дніпро, пр.О.Поля, 59",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",6,"!60! м.Дніпро, вул.Калинова, 82-Б, частина прим.5",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Набережна Перемоги, 86д Аптека №14 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська область, м.Дніпро, вул.Пастера, 6А",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!7! м.Дніпро, вул.Роторна, 21",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"м.Дніпро, вул.Донецьке шосе, 2-Б Аптека №8 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!102! м.Дніпро, пр-т Б.Хмельницького, 119, прим.46",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Дніпро, вул.Маршала Малиновського, 2   Аптека №1 ""ДОБРОГО ДНЯ""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Набережна Перемоги, 58, прим.2",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.20-річчя Перемоги, 33, прим.1 Аптека №13 ""1 соціальна аптека""",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"!5! Дніпропетровська обл., м.Дніпро, пр-т Героїв, 3",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Дніпро, вул.Паршина, 16 Б Аптека №9",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Дніпро, вул.Володимира Вернадського, 17",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!31!м.Дніпро, вул.Коробова, 2, прим.111",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Дніпро, вул.Новошкільна, 68",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!97! м.Дніпро, вул.Калинова, 1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",5,"!90! Дніпропетровська обл., м.Тернівка, вул.Харківська, 26",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!361! Дніпропетровська обл., Дніпровський р-н, смт Слобожанське, вул.Будівельників, 16А",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Полтавська обл., м.Кременчук, вул.Київська, 1/49",Полтавська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!143! Дніпропетровська обл., м.Верхньодніпровськ, пр-т Поля, 10",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Полтавська обл., м.Кременчук, вул.Небесної Сотні, 29/35",Полтавська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"смт. Кринички, вул.Героїв Чорнобиля , 22",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, Оріхівське шосе, 10, Обласна клінічна лікарня",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.В.Сергієнка, 9",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.Бородінська, 20 б",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, пр-т Соборний, 148, прим.№111 Аптека №5",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.Поштова, 27/29",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., м.Біляївка, вул.Московська, 59, кв.7 	Аптека №5",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Одеська обл., м.Біляївка, вул.Московська, 59, кв.7 	Аптека №5",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., м.Біляївка, вул.Московська, 59, кв.7 	Аптека №5",Одеська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Одеса, вул.Ріхтера Святослава, 148",Одеська
