Область,Товар,Количество
ДНЕПРОПЕТРОВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,178
ДНЕПРОПЕТРОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,0
ДНЕПРОПЕТРОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,194
ДНЕПРОПЕТРОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,22
ДНЕПРОПЕТРОВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,27
ДНЕПРОПЕТРОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,6
ДНЕПРОПЕТРОВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),29
ДНЕПРОПЕТРОВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),60
ДНЕПРОПЕТРОВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,88
ДНЕПРОПЕТРОВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,133
ДНЕПРОПЕТРОВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),170
ДНЕПРОПЕТРОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,157
ДНЕПРОПЕТРОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,49
ДНЕПРОПЕТРОВСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,4
ДНЕПРОПЕТРОВСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,4
ДНЕПРОПЕТРОВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,6
ДНЕПРОПЕТРОВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,37
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,24
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,19
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,507
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,1611
ДНЕПРОПЕТРОВСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,8
ДНЕПРОПЕТРОВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,4
ДНЕПРОПЕТРОВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,1497
ДНЕПРОПЕТРОВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,90
ДНЕПРОПЕТРОВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,100
ДНЕПРОПЕТРОВСКАЯ,Тагріссо табл. в / пл.об. 80мг №30 (10х3) блістер,1
ДНЕПРОПЕТРОВСКАЯ,Тагріссо табл. п / в / пл.об.б. 80мг №30 (10х3) блістер Акція,2
ДНЕПРОПЕТРОВСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,12
ДНЕПРОПЕТРОВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,643
ДОНЕЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,1
ДОНЕЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,4
ДОНЕЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,4
ДОНЕЦКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,9
ДОНЕЦКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,1
ДОНЕЦКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),1
ДОНЕЦКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,2
ДОНЕЦКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,6
ДОНЕЦКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),7
ДОНЕЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,8
ДОНЕЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,2
ДОНЕЦКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,4
ДОНЕЦКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,0
ДОНЕЦКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,4
ДОНЕЦКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,26
ДОНЕЦКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,98
ДОНЕЦКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,19
ДОНЕЦКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,10
ДОНЕЦКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,4
ДОНЕЦКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,66
ЖИТОМИРСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,1
ЖИТОМИРСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,17
ЖИТОМИРСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,122
ЖИТОМИРСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,47
ЖИТОМИРСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,1
ЖИТОМИРСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,1
ЖИТОМИРСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,119
ЖИТОМИРСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,62
ЖИТОМИРСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,8
ЖИТОМИРСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,1
ЖИТОМИРСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),10
ЖИТОМИРСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,16
ЖИТОМИРСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,50
ЖИТОМИРСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),57
ЖИТОМИРСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,69
ЖИТОМИРСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,10
ЖИТОМИРСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,1
ЖИТОМИРСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,7
ЖИТОМИРСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,9
ЖИТОМИРСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,188
ЖИТОМИРСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,657
ЖИТОМИРСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,2
ЖИТОМИРСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,59
ЖИТОМИРСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,41
ЖИТОМИРСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,24
ЖИТОМИРСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,189
ЗАКАРПАТСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,2
ЗАКАРПАТСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,4
ЗАКАРПАТСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,32
ЗАКАРПАТСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,69
ЗАКАРПАТСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,1
ЗАКАРПАТСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,7
ЗАКАРПАТСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,103
ЗАКАРПАТСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,7
ЗАКАРПАТСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,58
ЗАКАРПАТСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,13
ЗАКАРПАТСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,2
ЗАКАРПАТСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),8
ЗАКАРПАТСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),20
ЗАКАРПАТСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,29
ЗАКАРПАТСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,45
ЗАКАРПАТСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),73
ЗАКАРПАТСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,159
ЗАКАРПАТСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,31
ЗАКАРПАТСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,1
ЗАКАРПАТСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,2
ЗАКАРПАТСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,7
ЗАКАРПАТСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,19
ЗАКАРПАТСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,123
ЗАКАРПАТСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,297
ЗАКАРПАТСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,1
ЗАКАРПАТСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,56
ЗАКАРПАТСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,37
ЗАКАРПАТСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,88
ЗАКАРПАТСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,3
ЗАКАРПАТСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,482
ЗАПОРОЖСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,20
ЗАПОРОЖСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,23
ЗАПОРОЖСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,32
ЗАПОРОЖСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,4
ЗАПОРОЖСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,90
ЗАПОРОЖСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,43
ЗАПОРОЖСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,6
ЗАПОРОЖСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,6
ЗАПОРОЖСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),7
ЗАПОРОЖСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),11
ЗАПОРОЖСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,30
ЗАПОРОЖСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,49
ЗАПОРОЖСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),67
ЗАПОРОЖСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,25
ЗАПОРОЖСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5
ЗАПОРОЖСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,1
ЗАПОРОЖСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,1
ЗАПОРОЖСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,5
ЗАПОРОЖСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,3
ЗАПОРОЖСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,1
ЗАПОРОЖСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,3
ЗАПОРОЖСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,76
ЗАПОРОЖСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,339
ЗАПОРОЖСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,1
ЗАПОРОЖСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,284
ЗАПОРОЖСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,41
ЗАПОРОЖСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,39
ЗАПОРОЖСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,218
ИВАНО-ФРАНКОВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,1
ИВАНО-ФРАНКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,15
ИВАНО-ФРАНКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,283
ИВАНО-ФРАНКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,108
ИВАНО-ФРАНКОВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,2
ИВАНО-ФРАНКОВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,117
ИВАНО-ФРАНКОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,40
ИВАНО-ФРАНКОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,1
ИВАНО-ФРАНКОВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,20
ИВАНО-ФРАНКОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,2
ИВАНО-ФРАНКОВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),2
ИВАНО-ФРАНКОВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),17
ИВАНО-ФРАНКОВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,39
ИВАНО-ФРАНКОВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,79
ИВАНО-ФРАНКОВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),93
ИВАНО-ФРАНКОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,61
ИВАНО-ФРАНКОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,24
ИВАНО-ФРАНКОВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,3
ИВАНО-ФРАНКОВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,1
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,4
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,9
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,67
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,603
ИВАНО-ФРАНКОВСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,4
ИВАНО-ФРАНКОВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,103
ИВАНО-ФРАНКОВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,43
ИВАНО-ФРАНКОВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,79
ИВАНО-ФРАНКОВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,202
КИЕВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,22
КИЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,155
КИЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,669
КИЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,469
КИЕВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,102
КИЕВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,14
КИЕВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,625
КИЕВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,23
КИЕВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,240
КИЕВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,184
КИЕВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,302
КИЕВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,55
КИЕВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер Смотка 2 уп *,6
КИЕВСКАЯ,Касодекс табл. в / пл.об.150мг N28 Смотка 2 уп *,6
КИЕВСКАЯ,Касодекс® табл. в / пл.об.150мг N28 *,11
КИЕВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),90
КИЕВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),229
КИЕВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,588
КИЕВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,784
КИЕВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),1023
КИЕВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,918
КИЕВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,267
КИЕВСКАЯ,Лінпарза .табл.вк/пл.об.100мг №56(7х8) блістер Акція,1
КИЕВСКАЯ,Лінпарза табл.вк/пл.об.100мг №56(7х8) блістер,1
КИЕВСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,17
КИЕВСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,17
КИЕВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,19
КИЕВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,74
КИЕВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,58
КИЕВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,162
КИЕВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,791
КИЕВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,2455
КИЕВСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,15
КИЕВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,17
КИЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,2
