Область,Товар,Количество
ВИННИЦКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,40
ВИННИЦКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,97
ВИННИЦКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,265
ВОЛЫНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,9
ВОЛЫНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,70
ВОЛЫНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,15
ВОЛЫНСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,1
ВОЛЫНСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,49
ВОЛЫНСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,1
ВОЛЫНСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,18
ВОЛЫНСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,1
ВОЛЫНСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,3
ВОЛЫНСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),5
ВОЛЫНСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,8
ВОЛЫНСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,19
ВОЛЫНСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),17
ВОЛЫНСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,29
ВОЛЫНСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,4
ВОЛЫНСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,8
ВОЛЫНСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,3
ВОЛЫНСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,83
ВОЛЫНСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,279
ВОЛЫНСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,21
ВОЛЫНСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,49
ВОЛЫНСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,150
ДНЕПРОПЕТРОВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,4
ДНЕПРОПЕТРОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,13
ДНЕПРОПЕТРОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,41
ДНЕПРОПЕТРОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,39
ДНЕПРОПЕТРОВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,6
ДНЕПРОПЕТРОВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,12
ДНЕПРОПЕТРОВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,128
ДНЕПРОПЕТРОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,1
ДНЕПРОПЕТРОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,124
ДНЕПРОПЕТРОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 Смотка 3 уп *,15
ДНЕПРОПЕТРОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,18
ДНЕПРОПЕТРОВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,30
ДНЕПРОПЕТРОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,6
ДНЕПРОПЕТРОВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),4
ДНЕПРОПЕТРОВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),38
ДНЕПРОПЕТРОВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,35
ДНЕПРОПЕТРОВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,110
ДНЕПРОПЕТРОВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),173
ДНЕПРОПЕТРОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,132
ДНЕПРОПЕТРОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,28
ДНЕПРОПЕТРОВСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,1
ДНЕПРОПЕТРОВСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,1
ДНЕПРОПЕТРОВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,4
ДНЕПРОПЕТРОВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,11
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,13
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,6
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,180
ДНЕПРОПЕТРОВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,466
ДНЕПРОПЕТРОВСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,3
ДНЕПРОПЕТРОВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,7
ДНЕПРОПЕТРОВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,36
ДНЕПРОПЕТРОВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,188
ДНЕПРОПЕТРОВСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,4
ДНЕПРОПЕТРОВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,389
ДОНЕЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,1
ДОНЕЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,2
ДОНЕЦКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,3
ДОНЕЦКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,2
ДОНЕЦКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,1
ДОНЕЦКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,3
ДОНЕЦКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),7
ДОНЕЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,13
ДОНЕЦКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,9
ДОНЕЦКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,9
ДОНЕЦКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,35
ДОНЕЦКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,9
ДОНЕЦКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,29
ДОНЕЦКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,58
ЖИТОМИРСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,1
ЖИТОМИРСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,12
ЖИТОМИРСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,71
ЖИТОМИРСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,30
ЖИТОМИРСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,3
ЖИТОМИРСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,115
ЖИТОМИРСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,1
ЖИТОМИРСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,13
ЖИТОМИРСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,1
ЖИТОМИРСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,5
ЖИТОМИРСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,1
ЖИТОМИРСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),14
ЖИТОМИРСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,19
ЖИТОМИРСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,56
ЖИТОМИРСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),37
ЖИТОМИРСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,44
ЖИТОМИРСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,8
ЖИТОМИРСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,1
ЖИТОМИРСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,2
ЖИТОМИРСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,4
ЖИТОМИРСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,128
ЖИТОМИРСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,278
ЖИТОМИРСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,2
ЖИТОМИРСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,28
ЖИТОМИРСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,42
ЖИТОМИРСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,116
ЗАКАРПАТСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,6
ЗАКАРПАТСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,13
ЗАКАРПАТСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,25
ЗАКАРПАТСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,2
ЗАКАРПАТСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,126
ЗАКАРПАТСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,35
ЗАКАРПАТСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,5
ЗАКАРПАТСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,5
ЗАКАРПАТСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),11
ЗАКАРПАТСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),13
ЗАКАРПАТСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,15
ЗАКАРПАТСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,70
ЗАКАРПАТСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),39
ЗАКАРПАТСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,162
ЗАКАРПАТСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,20
ЗАКАРПАТСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,1
ЗАКАРПАТСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,6
ЗАКАРПАТСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,3
ЗАКАРПАТСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,5
ЗАКАРПАТСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,81
ЗАКАРПАТСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,136
ЗАКАРПАТСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,1
ЗАКАРПАТСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,56
ЗАКАРПАТСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,145
ЗАКАРПАТСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,1
ЗАКАРПАТСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,245
ЗАПОРОЖСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,10
ЗАПОРОЖСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,7
ЗАПОРОЖСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,27
ЗАПОРОЖСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,1
ЗАПОРОЖСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,92
ЗАПОРОЖСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,43
ЗАПОРОЖСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,3
ЗАПОРОЖСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,1
ЗАПОРОЖСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),6
ЗАПОРОЖСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,20
ЗАПОРОЖСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,34
ЗАПОРОЖСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),40
ЗАПОРОЖСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,10
ЗАПОРОЖСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,2
ЗАПОРОЖСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,5
ЗАПОРОЖСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,1
ЗАПОРОЖСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,45
ЗАПОРОЖСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,346
ЗАПОРОЖСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,31
ЗАПОРОЖСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,51
ЗАПОРОЖСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,101
ИВАНО-ФРАНКОВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,1
ИВАНО-ФРАНКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,19
ИВАНО-ФРАНКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,222
ИВАНО-ФРАНКОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,106
ИВАНО-ФРАНКОВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,1
ИВАНО-ФРАНКОВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,2
ИВАНО-ФРАНКОВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,92
ИВАНО-ФРАНКОВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,37
ИВАНО-ФРАНКОВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,1
ИВАНО-ФРАНКОВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,35
ИВАНО-ФРАНКОВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,2
ИВАНО-ФРАНКОВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),10
ИВАНО-ФРАНКОВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,31
ИВАНО-ФРАНКОВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,43
ИВАНО-ФРАНКОВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),87
ИВАНО-ФРАНКОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,80
ИВАНО-ФРАНКОВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,10
ИВАНО-ФРАНКОВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,3
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,1
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,5
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,146
ИВАНО-ФРАНКОВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,354
ИВАНО-ФРАНКОВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,28
ИВАНО-ФРАНКОВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,48
ИВАНО-ФРАНКОВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,157
КИЕВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,22
КИЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,93
КИЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,390
КИЕВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,339
КИЕВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,23
КИЕВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,0
КИЕВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,349
КИЕВСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер Спец,30
КИЕВСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,5
КИЕВСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,167
КИЕВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 Смотка 3 уп *,6
КИЕВСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,152
КИЕВСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,118
КИЕВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,27
КИЕВСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер Смотка 2 уп *,2
КИЕВСКАЯ,Касодекс табл. в / пл.об.150мг N28 Смотка 2 уп *,2
КИЕВСКАЯ,Касодекс® табл. в / пл.об.150мг N28 *,4
КИЕВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),24
КИЕВСКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4) Спец,150
КИЕВСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),142
КИЕВСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,524
КИЕВСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,832
КИЕВСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),1185
КИЕВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,841
КИЕВСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,151
КИЕВСКАЯ,Лінпарза .табл.вк/пл.об.100мг №56(7х8) блістер Акція,1
КИЕВСКАЯ,Лінпарза табл.вк/пл.об.100мг №56(7х8) блістер,1
КИЕВСКАЯ,Лінпарза табл.вк/пл.об.150мг \№56(7х8) блістер,3
КИЕВСКАЯ,Лінпарза табл.вк/пл.об.150мг №56(7х8) блістер Акція,3
КИЕВСКАЯ,Онгліза табл.в / пл.об. 2.5мг N30 (10х3) блістер,11
КИЕВСКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,61
КИЕВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,28
КИЕВСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,29
КИЕВСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,452
КИЕВСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,1209
КИЕВСКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,19
КИЕВСКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,8
КИЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,148
КИЕВСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,186
КИЕВСКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,7
КИЕВСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,2034
КИРОВОГРАДСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,2
КИРОВОГРАДСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,6
КИРОВОГРАДСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,8
КИРОВОГРАДСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,3
КИРОВОГРАДСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,12
КИРОВОГРАДСКАЯ,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,4
КИРОВОГРАДСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,30
КИРОВОГРАДСКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,2
КИРОВОГРАДСКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,2
КИРОВОГРАДСКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,1
КИРОВОГРАДСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),1
КИРОВОГРАДСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,6
КИРОВОГРАДСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,11
КИРОВОГРАДСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),19
КИРОВОГРАДСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,4
